video_number,vimeo_link,nº do projecto,nome,tema,sample_1,sample_2,sample_3,sample_4,sample_5,remarks,consistency,performer_category,upload_date,location,keywords,voice
836,https://vimeo.com/142246793,318,Maria Madalena Antunes,Canção de Embalar (tradicional açoriana),"1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.85)",Consistent (100%),100,solo (1),2015-10-13,,"Tradicional, infantil",Viola da terra
837,https://vimeo.com/33428039,319,Sofia Vidal,Sapateia do Norte,"1 performers (Solo, conf: 0.75)","1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.73)","1 performers (Solo, conf: 0.75)","1 performers (Solo, conf: 0.78)",Consistent (100%),100,solo (1),2011-12-09,,"Tradicional, infantil",Viola da terra
838,https://vimeo.com/142262587,319,Sofia Vidal,São Macaio,"1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.86)",Consistent (100%),100,solo (1),2015-10-13,,"Tradicional, infantil",Viola da terra
839,https://vimeo.com/33904102,320,Elisa Rodrigues acompanhada por Júlio Resende,Cry me a river,"1 performers (Solo, conf: 0.86)","1 performers (Solo, conf: 0.72)","1 performers (Solo, conf: 0.78)","1 performers (Solo, conf: 0.69)","1 performers (Solo, conf: 0.70)",Consistent (100%),100,solo (1),2011-12-19,,Jazz,piano
840,https://vimeo.com/33704344,320,Elisa Rodrigues acompanhada por Júlio Resende,Dumb,"3 performers (Small Group, conf: 0.50)","2 performers (Duo, conf: 0.68)","2 performers (Duo, conf: 0.63)","2 performers (Duo, conf: 0.38)","2 performers (Duo, conf: 0.28)",Mostly consistent (80%),80,duo (2),2011-12-15,,Jazz,piano
841,https://vimeo.com/33538757,320,Elisa Rodrigues acompanhada por Júlio Resende,You Don't Know,"3 performers (Small Group, conf: 0.49)","2 performers (Duo, conf: 0.62)","2 performers (Duo, conf: 0.53)","1 performers (Solo, conf: 0.68)","1 performers (Solo, conf: 0.78)",Inconsistent - Manual review required (40%),40,solo (1),2011-12-12,,Jazz,piano
842,https://vimeo.com/36408545,320,Elisa Rodrigues acompanhada por Júlio Resende,1º Aniversário da MPAGDP - Elisa Rodrigues com Júlio Resende,No frame found,"2 performers (Duo, conf: 0.43)","1 performers (Solo, conf: 0.26)",No frame found,"2 performers (Duo, conf: 0.40)",Mostly consistent (67%),66.66666667,duo (2),2012-02-08,,Jazz,piano
843,https://vimeo.com/33622920,321,Grupo Folcórico e Etnográfico de Pedro Miguel,Chamarrita,"6 performers (Large Group, conf: 0.82)","6 performers (Large Group, conf: 0.85)","6 performers (Large Group, conf: 0.86)","6 performers (Large Group, conf: 0.86)","6 performers (Large Group, conf: 0.84)",Consistent (100%),100,large group (5+),2011-12-13,,"rancho, folclore, etnográfico, cantador","Voz, violino, bandolim, viola da terra"
844,https://vimeo.com/33237840,322,Jaime Reis,Calmodulin Synthesis,No frame found,"4 performers (Small Group, conf: 0.50)","3 performers (Small Group, conf: 0.59)","5 performers (Small Group, conf: 0.47)","5 performers (Small Group, conf: 0.51)",Inconsistent - Manual review required (50%),50,small group (3-5),2011-12-06,,"percussão, contemporânea",.........
845,https://vimeo.com/33302763,322,Jaime Reis,Lysozyme Synthesis,"2 performers (Duo, conf: 0.61)","1 performers (Solo, conf: 0.70)","2 performers (Duo, conf: 0.65)","2 performers (Duo, conf: 0.65)","2 performers (Duo, conf: 0.70)",Mostly consistent (80%),80,duo (2),2011-12-07,,contemporânea,Piano
846,https://vimeo.com/33648942,323,Foliões de Espírito Santo,Foliões de Espírito Santo,"4 performers (Small Group, conf: 0.84)","4 performers (Small Group, conf: 0.85)","4 performers (Small Group, conf: 0.85)","4 performers (Small Group, conf: 0.86)","5 performers (Small Group, conf: 0.72)",Mostly consistent (80%),80,small group (3-5),2011-12-14,,,"Voz, Pandeiretas, Bombo"
847,https://vimeo.com/33649598,324,Zabumba,Zabumba,"12 performers (Large Group, conf: 0.81)","12 performers (Large Group, conf: 0.86)","12 performers (Large Group, conf: 0.85)","12 performers (Large Group, conf: 0.86)","13 performers (Large Group, conf: 0.80)",Mostly consistent (80%),80,large group (5+),2011-12-14,,,"Pífaro, ferrinhos ou triângulo, caixa, bombo, pinhas"
848,https://vimeo.com/33651792,325,"Décio Leal, Manuel Paulino Dias, Manuel Sousa",Chamarrita,"3 performers (Small Group, conf: 0.86)","3 performers (Small Group, conf: 0.92)","3 performers (Small Group, conf: 0.92)","3 performers (Small Group, conf: 0.91)","3 performers (Small Group, conf: 0.91)",Consistent (100%),100,small group (3-5),2011-12-14,,,"Viola da terra, viola acústica, bandolim"
849,https://vimeo.com/33661059,326,José Canarinho e outros,Chamarrita,"18 performers (Large Group, conf: 0.65)","15 performers (Large Group, conf: 0.66)","13 performers (Large Group, conf: 0.71)","15 performers (Large Group, conf: 0.68)","16 performers (Large Group, conf: 0.67)",Inconsistent - Manual review required (40%),40,large group (5+),2011-12-14,,"dança, chamarrita, mandada, mandador","Voz, bandolim, violino, viola da terra, viola acústica, viola acústica, baixo acústico"
850,https://vimeo.com/33661743,327,Ti Zita,Lavadeira,"1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.86)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.85)",Consistent (100%),100,solo (1),2011-12-14,,"Cantadeira, Tradicional, Cantares",Voz
851,https://vimeo.com/60441294,327,Ti Zita,Tecedeira briosa,"1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.86)","1 performers (Solo, conf: 0.83)","1 performers (Solo, conf: 0.87)",Consistent (100%),100,solo (1),2013-02-25,,"Cantadeira, Tradicional, Cantares",Voz
852,https://vimeo.com/33664209,328,Ti Alzira,"""Não Posso ir à Missa e outras modas""","1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.83)","2 performers (Duo, conf: 0.77)","1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.80)",Mostly consistent (80%),80,solo (1),2011-12-14,,"Cantadeira, Tradicional, Cantares",Voz
853,https://vimeo.com/155994167,328,Ti Alzira,Não quero que vás à monda,"2 performers (Duo, conf: 0.75)","2 performers (Duo, conf: 0.69)","2 performers (Duo, conf: 0.67)","2 performers (Duo, conf: 0.78)","2 performers (Duo, conf: 0.83)",Consistent (100%),100,duo (2),2016-02-19,,"Cantadeira, Tradicional, Cantares",Voz
854,https://vimeo.com/33683412,329,Grupo de Bombos da Casa do Povo de Paul,Grupo de Bombos da Casa do Povo de Paul,"13 performers (Large Group, conf: 0.59)","17 performers (Large Group, conf: 0.59)","20 performers (Large Group, conf: 0.54)","13 performers (Large Group, conf: 0.61)","14 performers (Large Group, conf: 0.57)",Inconsistent - Manual review required (40%),40,large group (5+),2011-12-14,,percussão,"Flauta Transversal, Bombo, Caixa"
855,https://vimeo.com/33711603,330,"Domingos Pereira Mendes, José Manuel Silva, Manuel da Soalheira",Desgarrada,"4 performers (Small Group, conf: 0.66)","3 performers (Small Group, conf: 0.85)","3 performers (Small Group, conf: 0.85)","4 performers (Small Group, conf: 0.76)","3 performers (Small Group, conf: 0.84)",Mostly consistent (60%),60,small group (3-5),2011-12-15,,,"Voz, concertina"
856,https://vimeo.com/290048583,331,Rosa da Costa Amaral e Azevedo Amaral,Vira,"3 performers (Small Group, conf: 0.71)","3 performers (Small Group, conf: 0.81)","2 performers (Duo, conf: 0.89)","2 performers (Duo, conf: 0.88)","2 performers (Duo, conf: 0.92)",Mostly consistent (60%),60,duo (2),2018-09-15,,"dança, malhão","Voz, concertina, reco-reco"
857,https://vimeo.com/290047735,331,Rosa da Costa Amaral e Azevedo Amaral,Dei um beijo,"3 performers (Small Group, conf: 0.66)","4 performers (Small Group, conf: 0.65)","4 performers (Small Group, conf: 0.66)","3 performers (Small Group, conf: 0.66)","3 performers (Small Group, conf: 0.77)",Mostly consistent (60%),60,small group (3-5),2018-09-15,,"dança, malhão","Voz, concertina, reco-reco"
858,https://vimeo.com/33712421,331,Rosa da Costa Amaral e Azevedo Amaral,Malhão,"2 performers (Duo, conf: 0.90)","2 performers (Duo, conf: 0.84)","2 performers (Duo, conf: 0.89)","2 performers (Duo, conf: 0.89)","2 performers (Duo, conf: 0.87)",Consistent (100%),100,duo (2),2011-12-15,,"dança, malhão","Voz, concertina, reco-reco"
859,https://vimeo.com/33719498,332,Paisagem sonora: Tear,Tear em Abação,No frame found,"1 performers (Solo, conf: 0.59)",No frame found,"1 performers (Solo, conf: 0.38)",No frame found,Consistent (100%),100,solo (1),2011-12-15,,"paisagem sonora, trabalho, tecer",Tear
860,https://vimeo.com/33726834,333,Chamamento com búzios,,"1 performers (Solo, conf: 0.78)","1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.84)",Consistent (100%),100,solo (1),2011-12-15,,"chamar, idiofone",Búzio
861,https://vimeo.com/33727274,334,Foliões de Porto do Calhau,,"2 performers (Duo, conf: 0.70)","2 performers (Duo, conf: 0.77)","2 performers (Duo, conf: 0.78)","2 performers (Duo, conf: 0.78)","2 performers (Duo, conf: 0.74)",Consistent (100%),100,duo (2),2011-12-15,,,Voz e bombo
862,https://vimeo.com/33734785,335,Desgarrada das Morcelas,Desgarrada das Morcelas,"6 performers (Large Group, conf: 0.66)","8 performers (Large Group, conf: 0.64)","8 performers (Large Group, conf: 0.63)","6 performers (Large Group, conf: 0.69)","6 performers (Large Group, conf: 0.68)",Mostly consistent (60%),60,large group (5+),2011-12-15,,,"Voz, viola acústica, bandolim, viola da terra"
863,https://vimeo.com/33741697,336,Diana e Pedro,"""Condição""","2 performers (Duo, conf: 0.79)","2 performers (Duo, conf: 0.82)","2 performers (Duo, conf: 0.77)","2 performers (Duo, conf: 0.84)","2 performers (Duo, conf: 0.81)",Consistent (100%),100,duo (2),2011-12-15,,,"Voz, guitarrra clássica"
864,https://vimeo.com/33747774,337,"António Zambujo, Raquel Tavares",Para que quero eu olhos,"3 performers (Small Group, conf: 0.68)","2 performers (Duo, conf: 0.73)","2 performers (Duo, conf: 0.79)","2 performers (Duo, conf: 0.80)","2 performers (Duo, conf: 0.80)",Mostly consistent (80%),80,duo (2),2011-12-15,,"cantiga, tradicional","Voz, guitarrra clássica"
865,https://vimeo.com/290063973,338,Domingos Inverno (Ti Bruxo),Moda I,"1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.90)",Consistent (100%),100,solo (1),2018-09-15,,"Tocador, aerofone",Pífaro
866,https://vimeo.com/290060850,338,Domingos Inverno (Ti Bruxo),Mata a aranha,"1 performers (Solo, conf: 0.73)","1 performers (Solo, conf: 0.73)","1 performers (Solo, conf: 0.71)","1 performers (Solo, conf: 0.74)","1 performers (Solo, conf: 0.76)",Consistent (100%),100,solo (1),2018-09-15,,"Tocador, aerofone",Pífaro
867,https://vimeo.com/290062682,338,Domingos Inverno (Ti Bruxo),"""Oh Vizinha tem lá lume""","1 performers (Solo, conf: 0.84)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.84)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.84)",Consistent (100%),100,solo (1),2018-09-15,,"Tocador, aerofone",Pífaro
868,https://vimeo.com/290059455,338,Domingos Inverno (Ti Bruxo),"""Como É Que Eu Hei-de"" de Nel Monteiro","1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.86)","1 performers (Solo, conf: 0.88)",Consistent (100%),100,solo (1),2018-09-15,,"Tocador, aerofone",Pífaro
869,https://vimeo.com/33751392,338,Domingos Inverno (Ti Bruxo),Toca Pífaro,"2 performers (Duo, conf: 0.53)","2 performers (Duo, conf: 0.55)","1 performers (Solo, conf: 0.80)","2 performers (Duo, conf: 0.54)","2 performers (Duo, conf: 0.54)",Mostly consistent (80%),80,duo (2),2011-12-15,,"Tocador, aerofone",Pífaro
870,https://vimeo.com/33774369,339,João Caçador,Bibo (Flauta de Tamboril),No frame found,No frame found,No frame found,No frame found,No frame found,No valid frames found,0,unknown,2011-12-16,,,"Flauta de três buracos, fraita ou flauta de tamborileiro e tamboril"
871,https://vimeo.com/33976298,340,"Grupo de Violas Campaniças: Pedro Mestre, David Pereira, Manuel Bento e Paulo Colaço",Jardim das damas,"4 performers (Small Group, conf: 0.86)","6 performers (Large Group, conf: 0.66)","5 performers (Small Group, conf: 0.76)","5 performers (Small Group, conf: 0.75)","6 performers (Large Group, conf: 0.65)",Inconsistent - Manual review required (40%),40,small group (3-5),2011-12-20,,"cantares, tradicional","Voz, viola viola campaniça"
872,https://vimeo.com/33825345,340,"Grupo de Violas Campaniças: Pedro Mestre, David Pereira, Manuel Bento e Paulo Colaço",Erva Cidreira,"4 performers (Small Group, conf: 0.86)","4 performers (Small Group, conf: 0.80)","5 performers (Small Group, conf: 0.74)","4 performers (Small Group, conf: 0.79)","4 performers (Small Group, conf: 0.80)",Mostly consistent (80%),80,small group (3-5),2011-12-17,,"cantares, tradicional","Voz, viola viola campaniça"
873,https://vimeo.com/288566130,341,Maria Otília,Toca reco-reco,"1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.87)",Consistent (100%),100,solo (1),2018-09-06,,corridinho,Voz e Grilinho
874,https://vimeo.com/288570990,341,Maria Otília,Toca grilinho,"1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.94)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.91)",Consistent (100%),100,solo (1),2018-09-06,,corridinho,Voz e Grilinho
875,https://vimeo.com/288570498,341,Maria Otília,Onde vais ó camponesa com o teu chapéu ao lado,"2 performers (Duo, conf: 0.66)","2 performers (Duo, conf: 0.76)","2 performers (Duo, conf: 0.71)","2 performers (Duo, conf: 0.72)","2 performers (Duo, conf: 0.70)",Consistent (100%),100,duo (2),2018-09-06,,corridinho,Voz e Grilinho
876,https://vimeo.com/33826705,341,Maria Otília,"""É no Algarve que o mar""","1 performers (Solo, conf: 0.96)","1 performers (Solo, conf: 0.96)","1 performers (Solo, conf: 0.96)","1 performers (Solo, conf: 0.96)","1 performers (Solo, conf: 0.97)",Consistent (100%),100,solo (1),2011-12-17,,corridinho,Voz e Grilinho
877,https://vimeo.com/33896832,342,Grupo de Borracheiros,Canto dos borracheiros,"3 performers (Small Group, conf: 0.47)","4 performers (Small Group, conf: 0.59)","3 performers (Small Group, conf: 0.63)","3 performers (Small Group, conf: 0.73)","3 performers (Small Group, conf: 0.71)",Mostly consistent (80%),80,small group (3-5),2011-12-19,,cantiga de trabalho,Voz
878,https://vimeo.com/33897310,343,"Roberto Moniz, Firmino Caldeira, Leonardo Correia",Xaramba,"3 performers (Small Group, conf: 0.89)","3 performers (Small Group, conf: 0.88)","3 performers (Small Group, conf: 0.91)","3 performers (Small Group, conf: 0.90)","3 performers (Small Group, conf: 0.90)",Consistent (100%),100,small group (3-5),2011-12-19,,"despique, desgarrada, tradicional, desafio, improviso","Voz, viola de arame"
879,https://vimeo.com/33902595,344,Tó Gil,Guitarra Portuguesa,"1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.90)",Consistent (100%),100,solo (1),2011-12-19,,,Guitarra Portuguesa
880,https://vimeo.com/115400614,345,Joana Capela,"""Triste Sina"", acompanhada por Hugo Afonso e Bruno Serra","3 performers (Small Group, conf: 0.82)","3 performers (Small Group, conf: 0.85)","3 performers (Small Group, conf: 0.84)","3 performers (Small Group, conf: 0.84)","3 performers (Small Group, conf: 0.86)",Consistent (100%),100,small group (3-5),2014-12-25,,fado,"voz, viola acústica, guitarra portuguesa"
881,https://vimeo.com/400567611,345,Joana Capela,"""Amor em tempo de guerra""","1 performers (Solo, conf: 0.77)","1 performers (Solo, conf: 0.77)","1 performers (Solo, conf: 0.75)","1 performers (Solo, conf: 0.76)","1 performers (Solo, conf: 0.78)",Consistent (100%),100,solo (1),2020-03-25,,,"voz, viola acústica"
882,https://vimeo.com/290955981,346,Maria Fátima Milheiro,"""Meu amor, meu amor""","1 performers (Solo, conf: 0.95)","1 performers (Solo, conf: 0.95)","1 performers (Solo, conf: 0.94)","1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.94)",Consistent (100%),100,solo (1),2018-09-20,,"cantadeira, tradicional, cantares",Voz
883,https://vimeo.com/33911983,346,Maria Fátima Milheiro,Cantiga,"1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.91)",Consistent (100%),100,solo (1),2011-12-19,,"cantadeira, tradicional, cantares",Voz
884,https://vimeo.com/290026939,347,"Bruno Fonseca, João Paulo, António Supíco",Moda II,"5 performers (Small Group, conf: 0.61)","5 performers (Small Group, conf: 0.64)","5 performers (Small Group, conf: 0.56)","5 performers (Small Group, conf: 0.64)","4 performers (Small Group, conf: 0.67)",Mostly consistent (80%),80,small group (3-5),2018-09-15,,,"Palheta ou oboé beirão, caixa e bombo"
885,https://vimeo.com/290026039,347,"Bruno Fonseca, João Paulo, António Supíco",Moda I,"4 performers (Small Group, conf: 0.68)","5 performers (Small Group, conf: 0.65)","4 performers (Small Group, conf: 0.69)","4 performers (Small Group, conf: 0.76)","3 performers (Small Group, conf: 0.81)",Mostly consistent (60%),60,small group (3-5),2018-09-15,,,"Palheta ou oboé beirão, caixa e bombo"
886,https://vimeo.com/33915283,347,"Bruno Fonseca, João Paulo, António Supíco",A saia da Carolina,"3 performers (Small Group, conf: 0.78)","4 performers (Small Group, conf: 0.68)","3 performers (Small Group, conf: 0.78)","3 performers (Small Group, conf: 0.81)","4 performers (Small Group, conf: 0.74)",Mostly consistent (60%),60,small group (3-5),2011-12-19,,,"Palheta ou oboé beirão, caixa e bombo"
887,https://vimeo.com/33913842,348,Martinho Serra Oliveira,Cana rachada,"1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.86)",Consistent (100%),100,solo (1),2011-12-19,,"percussão, idiofone",Cana rachada
888,https://vimeo.com/288456256,349,José Gavino,Faz percussão com uma sarronca,"1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.93)",Consistent (100%),100,solo (1),2018-09-05,,"zamburra, ronca, zurra-burros, idiofone",Sarronca
889,https://vimeo.com/288454124,349,José Gavino,Toca concertina,"1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.94)","1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.89)",Consistent (100%),100,solo (1),2018-09-05,,,concertina
890,https://vimeo.com/288453099,349,José Gavino,Toca Sarronca,"1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.94)","1 performers (Solo, conf: 0.94)","1 performers (Solo, conf: 0.94)","1 performers (Solo, conf: 0.93)",Consistent (100%),100,solo (1),2018-09-05,,"zamburra, ronca, zurra-burros, idiofone",Sarronca
891,https://vimeo.com/288453568,349,José Gavino,Toca Sarronca,"1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.90)",Consistent (100%),100,solo (1),2018-09-05,,"zamburra, ronca, zurra-burros, idiofone",Sarronca
892,https://vimeo.com/288454895,349,José Gavino,Toca Sarronca,"1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.95)","1 performers (Solo, conf: 0.94)","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.93)",Consistent (100%),100,solo (1),2018-09-05,,"zamburra, ronca, zurra-burros, idiofone",Sarronca
893,https://vimeo.com/33914530,349,José Gavino,Toca sarronca,"1 performers (Solo, conf: 0.94)","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.93)",Consistent (100%),100,solo (1),2011-12-19,,"zamburra, ronca, zurra-burros, idiofone",Sarronca
894,https://vimeo.com/33916792,350,Joaquim Brilhantino e José Mendes Feio,Genebres e Viola Beiroa,"2 performers (Duo, conf: 0.89)","2 performers (Duo, conf: 0.89)","2 performers (Duo, conf: 0.89)","2 performers (Duo, conf: 0.89)","2 performers (Duo, conf: 0.89)",Consistent (100%),100,duo (2),2011-12-19,,,"Genebres, viola beiroa"
895,https://vimeo.com/33921348,351,Nação Vira Lata,Iguana,"6 performers (Large Group, conf: 0.55)","6 performers (Large Group, conf: 0.52)","5 performers (Small Group, conf: 0.64)","7 performers (Large Group, conf: 0.48)","5 performers (Small Group, conf: 0.57)",Inconsistent - Manual review required (40%),40,large group (5+),2011-12-19,,percussão,"Voz, bateria,"
896,https://vimeo.com/290986575,352,Napoleão Ribeiro,Moda III,"1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.92)",Consistent (100%),100,solo (1),2018-09-20,,"aerofone, gaiteiro",Gaita de Foles
897,https://vimeo.com/290985978,352,Napoleão Ribeiro,Moda II,"1 performers (Solo, conf: 0.95)","1 performers (Solo, conf: 0.94)","1 performers (Solo, conf: 0.94)","1 performers (Solo, conf: 0.95)","1 performers (Solo, conf: 0.95)",Consistent (100%),100,solo (1),2018-09-20,,"aerofone, gaiteiro",Gaita de Foles
898,https://vimeo.com/33959076,352,Napoleão Ribeiro,Moda I,"1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.93)",Consistent (100%),100,solo (1),2011-12-20,,"aerofone, gaiteiro",Gaita de Foles
899,https://vimeo.com/290925758,353,António André,Lhaço,"1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.92)",Consistent (100%),100,solo (1),2018-09-20,,"aerofone, gaiteiro",Gaita de Foles
900,https://vimeo.com/33962454,353,António André,Toca gaita de foles,"1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.88)",Consistent (100%),100,solo (1),2011-12-20,,"aerofone, gaiteiro",Gaita de Foles
901,https://vimeo.com/33962751,354,Grupo Zamburras do Saca Sons,Lá em cima ao castelo,"7 performers (Large Group, conf: 0.86)","7 performers (Large Group, conf: 0.89)","7 performers (Large Group, conf: 0.91)","7 performers (Large Group, conf: 0.89)","7 performers (Large Group, conf: 0.88)",Consistent (100%),100,large group (5+),2011-12-20,,"tradicional, idiofone, cantares, cantadeiras, Sarronca, zamburra, ronca, zurra-burros","Voz, zambura"
902,https://vimeo.com/33967090,355,"Luís Rodrigues, Manuel dos Santos Neves, Maria Amélia Melim Neves",Desgarrada,"3 performers (Small Group, conf: 0.86)","4 performers (Small Group, conf: 0.86)","4 performers (Small Group, conf: 0.82)","4 performers (Small Group, conf: 0.83)","4 performers (Small Group, conf: 0.81)",Mostly consistent (80%),80,small group (3-5),2011-12-20,,,"Voz, viola de arame, braguinha"
903,https://vimeo.com/33970142,356,Paulo Menezes,Mandador de Chamarritas,"1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.90)",Consistent (100%),100,solo (1),2011-12-20,,"chamarrita, dança, mandos, mandador",Voz
904,https://vimeo.com/33982322,357,Pastores,,"1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.41)","2 performers (Duo, conf: 0.53)","1 performers (Solo, conf: 0.25)","3 performers (Small Group, conf: 0.37)",Mostly consistent (60%),60,solo (1),2011-12-20,,"paisagem sonora, pastores, ovelhas","paisagem sonora, pastores, ovelhas"
905,https://vimeo.com/744946702,358,"Adélia Garcia, Avelina Bartolomeu, Tiago Pereira","""À porta da belandrona""","3 performers (Small Group, conf: 0.68)","3 performers (Small Group, conf: 0.72)","3 performers (Small Group, conf: 0.75)","3 performers (Small Group, conf: 0.80)","3 performers (Small Group, conf: 0.78)",Consistent (100%),100,small group (3-5),2022-08-31,,"cantadeira, romance, cantares, tradicional",Voz
906,https://vimeo.com/34143374,358,"Adélia Garcia, Avelina Bartolomeu, Tiago Pereira",Costureira,"4 performers (Small Group, conf: 0.63)","4 performers (Small Group, conf: 0.59)","5 performers (Small Group, conf: 0.51)","4 performers (Small Group, conf: 0.57)","4 performers (Small Group, conf: 0.55)",Mostly consistent (80%),80,small group (3-5),2011-12-23,,"cantadeira, romance, cantares, tradicional",Voz
907,https://vimeo.com/34170044,359,Requiem pelos Vivos,As raparigas da cor do limão,"4 performers (Small Group, conf: 0.64)","3 performers (Small Group, conf: 0.82)","3 performers (Small Group, conf: 0.80)","3 performers (Small Group, conf: 0.82)","3 performers (Small Group, conf: 0.79)",Mostly consistent (80%),80,small group (3-5),2011-12-24,,,"Voz, viola acústica, tarola"
908,https://vimeo.com/34168629,359,Requiem pelos Vivos,A canção da Desfolhada,"3 performers (Small Group, conf: 0.69)","2 performers (Duo, conf: 0.82)","2 performers (Duo, conf: 0.80)","3 performers (Small Group, conf: 0.66)","2 performers (Duo, conf: 0.83)",Mostly consistent (60%),60,duo (2),2011-12-24,,,"Voz, viola acústica, tarola"
909,https://vimeo.com/198387486,360,Adélia Garcia,"""Caralinda""","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.83)","1 performers (Solo, conf: 0.84)","1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.84)",Consistent (100%),100,solo (1),2017-01-06,,"Cantadeira, tradicional, popular, cantares",voz
910,https://vimeo.com/198389504,360,Adélia Garcia,"""Caridinha""","1 performers (Solo, conf: 0.83)","1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.86)",Consistent (100%),100,solo (1),2017-01-06,,"Cantadeira, tradicional, popular, cantares",voz
911,https://vimeo.com/198474436,360,Adélia Garcia,"""D. Anca""","1 performers (Solo, conf: 0.78)","1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.83)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.84)",Consistent (100%),100,solo (1),2017-01-07,,"Cantadeira, tradicional, popular, cantares",voz
912,https://vimeo.com/198390527,360,Adélia Garcia,"""Deitei meus olhos ao rio""","1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.82)",Consistent (100%),100,solo (1),2017-01-06,,"Cantadeira, tradicional, popular, cantares",voz
